작성월,거래유형,발행형태,공급가액,세액
2024-01,매출,전자,1500000,150000
2024-01,매출,전자,2300000,230000
2024-01,매출,종이,800000,80000
2024-01,매입,전자,1200000,120000
2024-01,매입,전자,900000,90000
2024-01,매입,종이,500000,50000
2024-02,매출,전자,1800000,180000
2024-02,매출,전자,3200000,320000
2024-02,매출,종이,1100000,110000
2024-02,매입,전자,1400000,140000
2024-02,매입,전자,1100000,110000
2024-02,매입,종이,600000,60000
2024-03,매출,전자,2100000,210000
2024-03,매출,전자,2800000,280000
2024-03,매출,종이,950000,95000
2024-03,매입,전자,1300000,130000
2024-03,매입,전자,850000,85000
2024-03,매입,종이,450000,45000
2024-04,매출,전자,1900000,190000
2024-04,매출,전자,3500000,350000
2024-04,매출,종이,1200000,120000
2024-04,매입,전자,1600000,160000
2024-04,매입,전자,1000000,100000
2024-04,매입,종이,550000,55000
2024-05,매출,전자,2200000,220000
2024-05,매출,전자,3000000,300000
2024-05,매출,종이,1050000,105000
2024-05,매입,전자,1350000,135000
2024-05,매입,전자,950000,95000
2024-05,매입,종이,480000,48000
2024-06,매출,전자,2000000,200000
2024-06,매출,전자,3800000,380000
2024-06,매출,종이,1250000,125000
2024-06,매입,전자,1500000,150000
2024-06,매입,전자,1050000,105000
2024-06,매입,종이,520000,52000 